                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5762,                 3.5667,                 1.1134,                0.08145,                0.41471,                0.07775,                0.06175,                0.98642,                  3.393,                0.88019,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.0112,                 2.8934,                0.97685,                0.48715,                0.27506,                0.34122,                0.26376,                 1.1184,                 1.5852,                  0.863,              4.803e-05,              4.803e-05,              4.803e-05
                      3,                0.99315,                 1.3774,                0.96488,                0.81715,                0.39178,                0.49931,                   0.38,                  1.011,                 1.9331,                0.84054,             7.6749e-05,             7.6749e-05,             7.6749e-05
                      4,                0.99679,                 1.1163,                0.91574,                0.79998,                0.54909,                0.60313,                0.47145,                0.84716,                 1.6186,                0.82689,             0.00010283,             0.00010283,             0.00010283
                      5,                0.96545,                0.79105,                0.90918,                 0.5143,                0.62367,                0.47631,                0.33939,                0.92632,                 1.1849,                0.83947,             0.00012627,             0.00012627,             0.00012627
                      6,                0.90942,                0.93615,                0.92274,                0.48319,                0.63267,                0.46697,                0.32904,                0.99584,                 1.2469,                0.84287,             0.00014706,             0.00014706,             0.00014706
                      7,                0.98008,                0.68297,                0.88905,                0.51996,                0.64331,                0.47823,                0.34221,                0.89312,                  1.701,                0.83388,             0.00016522,             0.00016522,             0.00016522
                      8,                0.79675,                0.52872,                0.86521,                0.54089,                0.64872,                0.51662,                0.37695,                0.92233,                 1.8473,                0.83255,             0.00018074,             0.00018074,             0.00018074
                      9,                0.77877,                0.50579,                0.88228,                0.57226,                 0.6738,                0.53017,                0.36397,                0.97304,                 1.6839,                 0.8397,             0.00019361,             0.00019361,             0.00019361
                     10,                 0.8596,                0.48131,                0.86065,                0.64854,                0.60899,                0.60325,                0.42176,                 1.0197,                 1.5957,                0.84706,             0.00020385,             0.00020385,             0.00020385
                     11,                0.89494,                 0.4916,                0.86504,                0.77413,                 0.6435,                0.69425,                0.50656,                 0.9127,                 1.5409,                0.83589,             0.00021144,             0.00021144,             0.00021144
                     12,                0.78683,                0.54447,                0.87432,                0.68819,                0.63989,                0.61957,                0.44847,                0.86887,                 1.7012,                0.82779,              0.0002164,              0.0002164,              0.0002164
                     13,                0.79126,                0.45756,                0.84903,                 0.5013,                0.59575,                0.47754,                0.33757,                0.87676,                 1.7899,                0.83005,             0.00021871,             0.00021871,             0.00021871
                     14,                0.87986,                0.52481,                0.86567,                0.49778,                0.62665,                0.47576,                 0.3127,                 1.0387,                 1.9808,                0.84252,             0.00021838,             0.00021838,             0.00021838
                     15,                0.76445,                  0.551,                0.86715,                0.52999,                0.61301,                0.48083,                0.31996,                 1.0836,                 1.8981,                0.84352,             0.00021542,             0.00021542,             0.00021542
                     16,                 0.8702,                0.60877,                0.86865,                0.53516,                0.63087,                0.48477,                0.33489,                 1.0254,                 1.6826,                0.83992,             0.00020981,             0.00020981,             0.00020981
                     17,                0.76859,                0.51657,                0.86925,                0.59548,                0.71012,                0.55772,                0.41321,                0.88395,                 1.3601,                0.82974,             0.00020156,             0.00020156,             0.00020156
                     18,                0.74304,                0.50889,                 0.8287,                0.68062,                0.70771,                0.63224,                0.48183,                0.83956,                 1.1345,                0.82541,             0.00019067,             0.00019067,             0.00019067
                     19,                0.79156,                0.47305,                0.83637,                0.73155,                0.67303,                0.62915,                0.45554,                0.95293,                  1.227,                 0.8316,             0.00017714,             0.00017714,             0.00017714
                     20,                0.78319,                0.43414,                0.84887,                0.74347,                0.68195,                0.63876,                0.45551,                0.98862,                 1.2702,                0.83259,             0.00016097,             0.00016097,             0.00016097
                     21,                0.79035,                 0.4362,                0.82923,                0.80851,                0.71233,                0.71136,                0.53586,                0.93617,                 1.1061,                0.82776,             0.00014216,             0.00014216,             0.00014216
                     22,                0.85075,                0.44935,                0.82415,                0.83871,                0.75359,                0.76483,                0.58942,                0.90933,                0.88874,                0.82668,             0.00012071,             0.00012071,             0.00012071
                     23,                0.69392,                0.38627,                0.83433,                0.78418,                0.77249,                0.73291,                0.58387,                0.86615,                0.82054,                0.82307,             9.6619e-05,             9.6619e-05,             9.6619e-05
                     24,                0.71494,                0.40492,                0.84887,                0.84224,                0.76787,                0.77243,                0.62119,                0.85889,                0.75274,                0.82247,             6.9887e-05,             6.9887e-05,             6.9887e-05
                     25,                0.82646,                0.47947,                0.84356,                0.83448,                0.77433,                0.79847,                0.64564,                0.84327,                0.66042,                0.82136,             4.0515e-05,             4.0515e-05,             4.0515e-05
